term,language,definition,categories,target
analfabeta,Catalan,Catalan Danish Serbo-Croatian Swedish A poor and/or illiterate person,Disability,
anão,Portuguese,Dwarf,Disability,
anãos,Portuguese,Dwarf,Disability,
anāṛī,Hindi,,Class,
anãs,Portuguese,Dwarf,Disability,
anchor babies,English,A child of illegal immigrants particularly in the United States from the notion of dropping an anchor for other family members to acquire citizenship,Ethnicity,
anchor baby,English,A child of illegal immigrants particularly in the United States from the notion of dropping an anchor for other family members to acquire citizenship,Ethnicity,
ang mor,Malay,Singaporean slur for a Caucasian from red devil,Ethnicity,
Angie,English,Used in Quebec to denote English-speaking Canadians from Anglophone. A persons name,Ethnicity,English
Angies,English,Used in Quebec to denote English-speaking Canadians from Anglophone. A persons name,Ethnicity,English
Anglo,English,A Caucasian particularly an American,Ethnicity,
Anglo Fool,English,A stupid Anglo-Saxon,Class,
Anglo-bête,French,Stupid Anglo,Nationality,Cameroon
Anglo-fou,French,This term is a contraction of the French words ‘Anglophone’ (somebody who speaksrEnglish) and ‘fou’ which is an adjective meaning ‘mad’ or ‘foolish..’ It is mostly used by Francophone Cameroonians to refer in a derogatory way to Anglophone Cameroonians.,Nationality,Cameroon
anglofolle,French,,Nationality,Cameroon
Anglos,English,A Caucasian particularly an American,Ethnicity,
anjing betina,Indonesian,Bitch,Gender,Female
Ann,English,A white woman to a black person or a black woman who acts too much like a white one. While Miss Ann also just plain Ann is a derisive reference to the white woman by extension it is applied to any black woman who puts on airs and tries to act like Miss Ann. A persons name,Ethnicity,
Annies,English,,Ethnicity,European
Anns,English,A white woman to a black person or a black woman who acts too much like a white one. While Miss Ann also just plain Ann is a derisive reference to the white woman by extension it is applied to any black woman who puts on airs and tries to act like Miss Ann. A persons name,Ethnicity,
anões,Portuguese,Dwarf,Disability,
anusridder,Dutch,Anus knight; a man who has anal sex with another man,Sexual Orientation,Homosexual
anusridders,Dutch,Anus knight; a man who has anal sex with another man,Sexual Orientation,Homosexual
anusriddertje,Dutch,Anus knight; a man who has anal sex with another man,Sexual Orientation,Homosexual
anyagat,Amharic,Of the Nuer ethnic group in South Sudan Rebel renegade separatist or capitalist,Ethnicity,Nuer
ape,English,A black person A primate,Ethnicity,
apes,English,A black person A primate,Ethnicity,
apple,English,An American Indian (Native American) who is red on the outside white on the inside. Used primarily by other American Indians to indicate someone who has lost touch with their cultural identity. First used in the 1980s. A fruit,Ethnicity,
apples,English,An American Indian (Native American) who is red on the outside white on the inside. Used primarily by other American Indians to indicate someone who has lost touch with their cultural identity. First used in the 1980s. A fruit,Ethnicity,
arab du coin,French,A corner store run by people of North African descent,Ethnicity,Arabs
arabes du coin,French,A corner store run by people of North African descent,Ethnicity,Arabs
arabus,Polish,Equivalent of sand nigger for person of Arab descent,Ethnicity,Arabs
arabush,Hebrew,Arabs derived from Hebrew Aravi (Arab) which is itself non-offensive,Ethnicity,Arabs
arabusy,Polish,,Ethnicity,Arabs
aracuano,Spanish,Arab person of Lebanese Syrian Iraqi or other Arabic-related countries; used in Mexico,Nationality,Iraq
arapis,Greek,A person of African descent from Arab,Ethnicity,
Argie,English,An Argentinian.,Nationality,Argentina
Argies,English,An Argentinian.,Nationality,Argentina
Ariyan Jienge,Dinka,Dinka of the South Sudan ethnic group,Ethnicity,Dinka
Armo,English,A person of Armenian descent.,Ethnicity,
Armos,English,A person of Armenian descent.,Ethnicity,
arna,Hausa,A nonbeliever. Generally used by Hausa Muslims to refer to non-Muslims particularly Christians.,Religion,Atheism
arne,Hausa,A nonbeliever. Generally used by Hausa Muslims to refer to non-Muslims particularly Christians.,Religion,Atheism
ars,English,,Class,
arsim,English,,Class,
arsit,English,,Class,
aruna,Hausa,A nonbeliever. Generally used by Hausa Muslims to refer to non-Muslims particularly Christians.,Religion,Atheism
Aseng,Indonesian,A Chinese person,Nationality,China
asfalci,Polish,,Ethnicity,African
asfalt,Polish,A person with dark skin,Ethnicity,African
asfalty,Polish,,Ethnicity,African
Asylschmarotzer,German,Insult to refugees for exploiting there reliefs,Ethnicity,
Aunt Jane,English,A black woman who kisses up to white people a sellout female counterpart of Uncle Tom. A persons name,Ethnicity,
Aunt Janes,English,A black woman who kisses up to white people a sellout female counterpart of Uncle Tom. A persons name,Ethnicity,
Aunt Jemima,English,A black woman who kisses up to white people a sellout female counterpart of Uncle Tom. A persons name,Ethnicity,
Aunt Jemimas,English,A black woman who kisses up to white people a sellout female counterpart of Uncle Tom. A persons name,Ethnicity,
Aunt Mary,English,A black woman who kisses up to white people a sellout female counterpart of Uncle Tom. A persons name,Ethnicity,
Aunt Marys,English,A black woman who kisses up to white people a sellout female counterpart of Uncle Tom. A persons name,Ethnicity,
Aunt Sally,English,A black woman who kisses up to white people a sellout female counterpart of Uncle Tom. A persons name,Ethnicity,
Aunt Sallys,English,A black woman who kisses up to white people a sellout female counterpart of Uncle Tom. A persons name,Ethnicity,
autist,Dutch,One who behaves strangely as if autistic,Disability,
avalivavandu,Luyia,Luhya slur for members of the Kikuyu Embu or Meru ethnic communities from hyenas who eat people. May also denote financial or material exploitation.,Ethnicity,Kikuyu
avaseeve,Luyia,Luhya slur for members of the Kikuyu Embu or Meru ethnic communities from hyenas who eat people. May also denote financial or material exploitation.,Ethnicity,Maori
avec,Portuguese,A Portuguese immigrant in France,Nationality,France
awāhir,Arabic,Whore,Gender,Female
ayam kampus,Indonesian,Immoral female student,Gender,Female
azn,English,Abbreviation for asian,Ethnicity,
azns,English,Abbreviation for asian,Ethnicity,
azungu,Nyanja,An English person.,Ethnicity,English
ba que,Vietnamese,overseas Vietnameser political dissidentsr supporters of former regime (Republic of Vietnam aka South Vietnam) ba: threerque: stick(s)rProverb: ba que xỏ lá (transliteration: three sticks pinning a leaf): a dishonest deed.,Nationality,Vietnam
ba tàu,Vietnamese,A person from China A boat,Nationality,China
babbe,Swedish,A non-white person particularly from the Middle East,Ethnicity,Arabs
babi,Indonesian,to refer to non-muslims that consume pigs a kind of animal,Religion,Christianity
bachiche,Spanish,A person of Italian ancestry,Ethnicity,Italian
bachiches,Spanish,A person of Italian ancestry,Ethnicity,Italian
badacalana aurata,Hindi,,Gender,Female
badachalana aurata,Hindi,,Gender,Female
badatameeza aurata,Hindi,,Gender,Female
badatamīza aurata,Hindi,,Gender,Female
badugudugu,Ganda,Originally used by southern ethnic Ugandans (Baganda Basoga etc) to describe soldiers who were considered rough and believed to be mostly from the north in the period 1960-1990s. The term has generally been extended to all luo and nilotic people (most of whom come from the north and east of Uganda) and is used in an abusive context,Nationality,
bahadur,Nepali,Bahadur means brave has become a derogatory term for Nepali servants.,Nationality,Nepal
bai tou,Mandarin Chinese,Mandarin term for a Caucasian,Ethnicity,
baianagem,Portuguese,Tornar algo muito extravagante colorido diferenciado,Nationality,
baijo,Japanese,Stranger or foreigner A Chinese liquor,Ethnicity,
Baitola,Portuguese,Male homosexual,Sexual Orientation,Homosexual
bajaari,Tamil,,Gender,Female
bak guiy,Chinese,Cantonese term for Caucasian from white ghost,Ethnicity,
baldracca,Italian,Whore,Gender,Female
baldracche,Italian,,Gender,Female
baleia,Portuguese,An obese woman A whale,Gender,Female
baleias,Portuguese,An obese woman A whale,Gender,Female
balija,Bosnian,Pejorative term for Muslim particularly Balkan Turks In India a caste found in Andhra Pradesh Tamil Nadu Karnataka and Kerala states,Nationality,Turkey
balli,Sinhala,Bitch In Italian translates as dance,Gender,Female
balliyo,Sinhala,,Gender,Female
baluba,Swahili,A person of African ancestry from the tribe which killed Irish UN workers in 1961. A wild or unruly person Member of the Luba ethnicity in Central Africa,Ethnicity,African
baluga,Filipino,Filipino term for a black person,Ethnicity,
Bambi,Portuguese,A homosexual male,Gender,Homosexual
Bambis,Portuguese,A homosexual male,Gender,Homosexual
bamboo coon,English,A person of Chinese ancestry,Nationality,China
bamboo coons,English,A person of Chinese ancestry,Nationality,China
bamboula,French,Derogatory term for someone of African descent,Ethnicity,African
bamboulas,French,Derogatory term for someone of African descent,Ethnicity,African
bambus,Polish,A dark skinned person,Ethnicity,African
bambusy,Polish,,Ethnicity,African
ban and can,English,,Nationality,Cuba
banaan,Dutch,A person of African descent Banana,Ethnicity,African
banaantje,Dutch,A person of African descent Banana,Ethnicity,African
banana,English,An Asian-American who has lost their heritage. Yellow on the outside white on the inside. A fruit,Ethnicity,
banana bender,English,An Australian from Queensland,Nationality,Australia
banana benders,English,An Australian from Queensland,Nationality,Australia
banana lander,English,An Australian from Queensland,Nationality,Australia
banana landers,English,An Australian from Queensland,Nationality,Australia
bananas,English,An Asian-American who has lost their heritage. Yellow on the outside white on the inside. A fruit,Ethnicity,
bananen,Dutch,A person of African descent Banana,Ethnicity,African
banci,Indonesian,to refer to a man that behave like a woman,Gender,Bigender
banga,Dutch,Slut In Hausa homonym refers to a drum,Gender,Female
Bangla,Malay,Term used in Malaysia and Singapore to denote a Bangladeshi person with possible connotations of illegal and/or migrant labor,Nationality,Bangladesh
banislam,English,An islamophobic hate trope that wishes the governmental structure to ban muslims from practicing their faith.,Religion,Islam
banjo lips,English,An African-American,Ethnicity,
bans and cans,English,Mexicans Puerto Ricans and Cubans.,Nationality,Cuba
baraki,French,gypsy a poor person,Ethnicity,Romani
barakis,French,gypsy a poor person,Ethnicity,Romani
baranga,Portuguese,An ugly woman,Gender,Female
barangas,Portuguese,An ugly woman,Gender,Female
bastard,Slovak,whoreson,Gender,
basungu,Bemba (Zambia),An English person.,Ethnicity,English
batikhäxa,Swedish,A feminist particularly older unattractive or shrill,Gender,Female
batikhäxan,Swedish,A feminist particularly older unattractive or shrill,Gender,Female
batikhäxans,Swedish,A feminist particularly older unattractive or shrill,Gender,Female
batikhäxas,Swedish,A feminist particularly older unattractive or shrill,Gender,Female
batikhäxor,Swedish,A feminist particularly older unattractive or shrill,Gender,Female
batikhäxorna,Swedish,A feminist particularly older unattractive or shrill,Gender,Female
batikhäxornas,Swedish,A feminist particularly older unattractive or shrill,Gender,Female
batikhäxors,Swedish,A feminist particularly older unattractive or shrill,Gender,Female
batiman,English,,Sexual Orientation,Homosexual
batimen,English,,Sexual Orientation,Homosexual
batty boy,English,A gay or effeminate man One who defies gender or machismo,Sexual Orientation,Homosexual
batty boys,English,,Sexual Orientation,Homosexual
batty bwoy,English,,Sexual Orientation,Homosexual
batty bwoys,English,,Sexual Orientation,Homosexual
batty man,English,,Sexual Orientation,Homosexual
batty men,English,,Sexual Orientation,Homosexual
battyman,English,,Sexual Orientation,Homosexual
battymen,English,,Sexual Orientation,Homosexual
Bazi,German,Bazi is an offensive term used in Northern Germany to describe Bavarians. Derived from the ambiguous Bavarian/Austrian dialect term denoting a sly fellow.,Nationality,Austria
bazungu,Ganda,An English person.,,
bboongs,Vietnamese,bóng: homosexual males 1 dông bóng: Vietnamese Shamans.r2 cái bóng: shadow.r3 trái bóng: a (typically soccer) ball.r4 bong bóng: bubbles balloons.,Gender,Male
Bê dê,Vietnamese,Homosexual. From French pédé (faggot),Sexual Orientation,Homosexual
beach nigger,English,An overly tanned Caucasian,Ethnicity,
beach niggers,English,An overly tanned Caucasian,Ethnicity,
bean bandit,English,Referring to Hispanic people,Ethnicity,Hispanic
bean bandits,English,,Ethnicity,Hispanic
bean dipper,English,A non-hispanic person who dates hispanic women,Ethnicity,
bean dippers,English,A non-hispanic person who dates hispanic women,Ethnicity,
beaner,English,People of Mexican descent or more specifically mestizos of Central American descent. The term originates from the use of frijoles pintos and other beans in Mexican food.,Ethnicity,
beaner babies,English,An infant of hispanic descent,Ethnicity,Hispanic
beaner baby,English,An infant of hispanic descent,Ethnicity,Hispanic
beaner shnitzel,English,Offspring of a hispanic parent and a German parent,Nationality,German
beaner shnitzels,English,Offspring of a hispanic parent and a German parent,Nationality,German
beaners,English,People of Mexican descent or more specifically mestizos of Central American descent. The term originates from the use of frijoles pintos and other beans in Mexican food.,Ethnicity,
beaney,English,People of Mexican descent or more specifically mestizos of Central American descent. The term originates from the use of frijoles pintos and other beans in Mexican food.,Ethnicity,
beanies,English,People of Mexican descent or more specifically mestizos of Central American descent. The term originates from the use of frijoles pintos and other beans in Mexican food.,Ethnicity,
Beckies,English,,Gender,Female
Becky,English,A white woman A common womans name,Gender,Female
Beckys,English,,Gender,Female
behenchod,Urdu,sister fucker,,
behindert,German,In Romanian or German refers to a disabled or graceless person. Often used to negatively describe events behavior or people.,Disability,
bel bocconcino,Italian,Piece of ass,Gender,Female
belegana,Navajo,A Caucasian,Ethnicity,
belli,Sinhala,,Gender,Female
bencong bertitit,Indonesian,Homosexual,Sexual Orientation,Homosexual
Bengali,English,Used by Myanmar Buddhists to foment hate and exclusion from citizenship of Muslims. Calling them Bengali indicates they should be eliminated from Myanmar. Muslims in India are also treated the same way A Bengali citizen or inhabitant of Bangladesh,Nationality,Bangladesh
Bengalis,English,Used by Myanmar Buddhists to foment hate and exclusion from citizenship of Muslims. Calling them Bengali indicates they should be eliminated from Myanmar. A Bengali citizen or inhabitant of Bangladesh,Nationality,Bangladesh
Benguè,Sango,A Muslim,Religion,Islam
berberaap,Dutch,Moroccan literally Berber ape refers to Berber ethnicity / language of most Moroccan immigrants in Netherlands and Belgium,Ethnicity,
bergie,Afrikaans,A homeless person in Cape Town particularly one of African ancestry,Ethnicity,
betinha,Portuguese,A vain upper-class person,Class,
betinhas,Portuguese,A vain upper-class person,Class,
betinho,Portuguese,A vain upper-class person,Class,
betinhos,Portuguese,A vain upper-class person,Class,
beur,French,French-born offspring of North African parents,Nationality,French
beurette,French,French-born offspring of North African parents,Nationality,French
bhrempti,English,An Indian based on the perceived pronunciation of twenty.,Nationality,India
bhremptis,English,An Indian based on the perceived pronunciation of twenty.,Nationality,India
biba,Portuguese,Male homosexual,Sexual Orientation,Homosexual
bicha,Portuguese,Male homosexual,Sexual Orientation,Homosexual
bichinha,Portuguese,Male homosexual,Sexual Orientation,Homosexual
bichona,Portuguese,Male homosexual,Sexual Orientation,Homosexual
biến thái,Vietnamese,Hermaphrodite,Gender,Intergender
bife,Portuguese,An English person A steak,Nationality,United Kingdom
bifes,Portuguese,An English person A steak,Nationality,United Kingdom
big boubous,Sango,A Muslim from big robes,Religion,Islam
Bihari,English,Derogatorily used in South India for a North Indian A person from Bihar,Nationality,India
Biharis,English,,Nationality,India
bimbo,English,A vacuous woman,Gender,Female
Bingali,Burmese,,Ethnicity,Rohingya
Bingo Bongo,Italian,Used against African immigrants with the meaning of monkey wild,Nationality,Nigeria
bint,English,A human female,Gender,Female
bints,English,A human female,Gender,Female
bird,English,In the UK derogatory word for woman Winged vertebrate,Gender,Female
birds,English,In the UK derogatory word for woman Winged vertebrate,Gender,Female
bitch,English,A human female A female dog,Gender,Female
bitches,English,A human female A female dog,Gender,Female
biurwa,Polish,Office whore; a female office worker with a condescending manner,Gender,Female
biurwę,Polish,Office whore; a female office worker with a condescending manner,Gender,Female
biurwie,Polish,Office whore; a female office worker with a condescending manner,Gender,Female
biurwo,Polish,Office whore; a female office worker with a condescending manner,Gender,Female
biurwom,Polish,Office whore; a female office worker with a condescending manner,Gender,Female
biurwy,Polish,Office whore; a female office worker with a condescending manner,Gender,Female
bix nood,English,An African-American,Ethnicity,
bix noods,English,An African-American,Ethnicity,
black Barbie,English,A black woman when she wears her hair and makeup to try and look like a white woman. A doll,Ethnicity,
black Barbies,English,A black woman when she wears her hair and makeup to try and look like a white woman. A doll,Ethnicity,
black dago,English,A Sicilian A darker-skinned Italian An Italian of allegedly African ancestry,Nationality,Italy
black dagoes,English,,Nationality,Italy
black dagos,English,A Sicilian A darker-skinned Italian An Italian of allegedly African ancestry,Nationality,Italy
black invader,English,Accusative term for refugees or immigrants of darker complexion,Ethnicity,
black invaders,English,Accusative term for refugees or immigrants of darker complexion,Ethnicity,
blámaður,Icelandic,equivalent to the English negro,Ethnicity,African
blanco,Spanish,A Caucasian.,Ethnicity,
blåneger,Swedish,A person with a particularly dark skin color from blue negro,Ethnicity,African
blånegern,Swedish,A person with a particularly dark skin color from blue negro,Ethnicity,African
blånegerns,Swedish,A person with a particularly dark skin color from blue negro,Ethnicity,African
blånegers,Swedish,A person with a particularly dark skin color from blue negro,Ethnicity,African
blånegrer,Swedish,Blue negro; a person with a very deep black skin colour,Ethnicity,African
blånegrerna,Swedish,A person with a particularly dark skin color from blue negro,Ethnicity,African
blånegrernas,Swedish,A person with a particularly dark skin color from blue negro,Ethnicity,African
blånegrers,Swedish,A person with a particularly dark skin color from blue negro,Ethnicity,African
blattar,Swedish,In Sweden refers to immigrants especially with dark skin French homonym means cockroach,Ethnicity,Arabs
blattarna,Swedish,In Sweden refers to immigrants especially with dark skin French homonym means cockroach,Ethnicity,Arabs
blattarnas,Swedish,In Sweden refers to immigrants especially with dark skin French homonym means cockroach,Ethnicity,Arabs
blattars,Swedish,In Sweden refers to immigrants especially with dark skin French homonym means cockroach,Ethnicity,Arabs
blatte,Swedish,In Sweden refers to immigrants especially with dark skin French homonym means cockroach,Ethnicity,Arabs
blatten,Swedish,In Sweden refers to immigrants especially with dark skin French homonym means cockroach,Ethnicity,Arabs
blattens,Swedish,In Sweden refers to immigrants especially with dark skin French homonym means cockroach,Ethnicity,Arabs
blattes,Swedish,In Sweden refers to immigrants especially with dark skin French homonym means cockroach,Ethnicity,Arabs
blauwe,Dutch,One who is part Indonesian and part European,Nationality,Indonesia
blauwen,Dutch,One who is part Indonesian and part European,Nationality,Indonesia
blaxican,English,A person of mixed Mexican and African ancestry,Nationality,Mexico
blaxicans,English,A person of mixed Mexican and African ancestry,Nationality,Mexico
blockhead,English,In Australia a person of Macedonian descent.,Nationality,Macedonia
blockheads,English,In Australia a person of Macedonian descent.,Nationality,Macedonia
bludger,English,A shiftless or unemployed person. A pimp.,Class,
bludgers,English,A shiftless or unemployed person. A pimp.,Class,
blue gum,English,A black person.,Ethnicity,
blue gums,English,A black person.,Ethnicity,
bluegum,English,An African-American perceived as being lazy and who refuses to work.,Ethnicity,
bluegums,English,An African-American perceived as being lazy and who refuses to work.,Ethnicity,
boche,French,A German (shortened from the French term caboche dure hard head or stubborn).,Nationality,Germany
boffer,Hawaiian,In Hawaii or Polynesia a black person. An unkempt or lower class person.,Ethnicity,
bog,Finnish,A homosexual A Swede,Nationality,Homosexual
bog hopper,English,A person of common or low class Irish ancestry.,Nationality,Ireland
bog hoppers,English,A person of common or low class Irish ancestry.,Nationality,Ireland
Bog Irish,English,A person of common or low class Irish ancestry.,Nationality,Ireland
bog jumper,English,A person of common or low class Irish ancestry.,Nationality,Ireland
bog jumpers,English,A person of common or low class Irish ancestry.,Nationality,Ireland
bog trotter,English,A person of common or low class Irish ancestry.,Nationality,Ireland
bog trotters,English,A person of common or low class Irish ancestry.,Nationality,Ireland
bogan,English,A male Native American. In Australia or New Zealand white trash or a redneck.,Nationality,Australia
bogans,English,A male Native American. In Australia or New Zealand white trash or a redneck.,Nationality,Australia
bögjävel,Swedish,Male homosexual,Sexual Orientation,Homosexual
bohunk,English,A person of east-central European descent. Originally referred to those of Bohemian (now Czech Republic) descent. It was commonly used toward Ukrainian immigrants during the early 20th century.,Nationality,Czech Republic
bohunks,English,A person of east-central European descent. Originally referred to those of Bohemian (now Czech Republic) descent. It was commonly used toward Ukrainian immigrants during the early 20th century.,Nationality,Czech Republic
boiola,Portuguese,A male homosexual,Sexual Orientation,Homosexual
boiolas,Portuguese,Gay or effeminiate; a sissy,Gender,Male
bolillo,Spanish,Mexican slur for a Caucasian White bread,Ethnicity,
bollera,Spanish,Lesbian,Gender,Female
bolleras,Spanish,Lesbian,Gender,Female
bondaktig,Swedish,,Class,
bondsk,Swedish,,Class,
bong,English,Australian aboriginal. Boong pronounced with (like the vowel in bull) is related to the Australian English slang word bung meaning dead; infected; or dysfunctional. From bung to go bung Originally to die then to break down go bankrupt cease to function Ab. bong dead. Highly offensive. In New Zealand a Pacific Islander. A device for ingesting marijuana,Ethnicity,English
bongs,English,Australian aboriginal. Boong pronounced with (like the vowel in bull) is related to the Australian English slang word bung meaning dead; infected; or dysfunctional. From bung to go bung Originally to die then to break down go bankrupt cease to function Ab. bong dead. Highly offensive. In New Zealand a Pacific Islander. A device for ingesting marijuana,Ethnicity,English
bonne,Swedish,Yokel peasant Boorish,Class,
bonnig,Swedish,,Class,
bontkraagje,Dutch,Moroccan youth more generally ethnic youth. Refers to popular brand winter jackets with fur collar such as Moncler. Diminutive of bontkraag meaning fur collar.,Nationality,Morocco
boo,English,A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo meaning meek or servile. An exclamation intended to scare the listener,Ethnicity,
boofer,Hawaiian,In Hawaii or Polynesia a black person. An unkempt or lower class person.,Ethnicity,
boogat,English,An equivalent to spook relating to African-Americans.,Ethnicity,African American
boogats,English,,Ethnicity,African American
